Product Name,Category,Location,MRP,Blinkit Price,Zepto Price,Instamart Price,Discount (%),Margin (%),Festive/Seasonal Impact,Delivery Distance (km),Shelf Life (days),Min Stock,Max Stock,Final Price,Customer Sentiment,Weight (g/ml),Weight Unit,Order Year,Order Month,Order Day,Order Hour,Order Time Category
Coffee (),Grocery,Aundh,200,186.76,185.74,185.32,7,27,Summer,3.8,347,43,46,185.94,Neutral,200.0,g,2024,9,16,8,Morning
Oranges (),Fruits,Kothrud,87,80.92,79.31,79.27,8,13,Monsoon,4.0,11,28,183,79.83,Positive,1000.0,g,2024,3,22,19,Evening
Parle-G,Biscuits,Aundh,45,39.16,38.65,39.97,13,11,Monsoon,1.4,166,27,39,39.26,Negative,,Unknown,2024,1,2,9,Morning
Parle-G,Biscuits,Aundh,45,38.47,39.03,39.56,13,27,Monsoon,1.0,180,19,159,39.02,Positive,,Unknown,2024,1,14,23,Night
Amul Milk (),Dairy,Wakad,56,50.82,50.04,50.69,9,11,Diwali,4.6,15,25,196,50.52,Positive,1.0,l,2024,2,9,22,Night
Amul Milk (),Dairy,Wakad,56,46.87,46.42,46.77,18,17,Winter,4.5,11,11,57,46.69,Positive,1.0,l,2024,10,13,1,Night
Parle-G,Biscuits,Viman Nagar,45,39.13,40.17,38.82,12,11,Winter,4.4,85,39,129,39.37,Positive,,Unknown,2024,4,28,12,Afternoon
Tea (),Grocery,Aundh,150,133.3,133.06,132.64,11,18,,2.4,282,44,129,133.0,Neutral,250.0,g,2024,12,30,18,Evening
Sugar (),Grocery,Baner,58,52.36,53.17,51.28,10,29,Summer,2.7,260,37,193,52.27,Neutral,1000.0,g,2024,7,17,14,Afternoon
Wheat (),Grocery,Viman Nagar,80,70.71,71.62,70.2,11,27,Diwali,3.7,351,22,116,70.84,Neutral,1000.0,g,2024,6,16,11,Morning
Rice (),Grocery,Kothrud,100,85.33,84.25,85.8,15,26,Diwali,2.2,263,35,111,85.13,Negative,1000.0,g,2024,8,3,7,Morning
Dal (),Grocery,Aundh,90,75.05,75.51,74.93,17,19,Holi,2.6,257,28,82,75.16,Positive,500.0,g,2024,6,15,22,Night
Parle-G,Biscuits,Viman Nagar,45,36.8,36.47,37.04,19,15,Holi,3.6,125,50,136,36.77,Negative,,Unknown,2024,2,6,6,Morning
Tea (),Grocery,Kothrud,150,132.79,132.59,134.47,11,29,Exam Season,4.4,296,36,198,133.28,Positive,250.0,g,2024,8,11,13,Afternoon
Salt (),Grocery,Viman Nagar,20,16.09,16.91,15.61,17,13,Holi,4.1,225,43,162,16.2,Positive,500.0,g,2024,1,20,12,Afternoon
Oranges (),Fruits,Aundh,87,79.95,80.64,80.38,8,27,Winter,3.4,13,45,160,80.32,Negative,1000.0,g,2024,12,14,10,Morning
Atta (),Grocery,Viman Nagar,70,61.4,61.58,60.45,13,26,Holi,2.9,250,38,58,61.14,Positive,1000.0,g,2024,10,4,2,Night
Tomatoes (),Vegetables,Aundh,47,39.59,40.03,39.23,15,17,Summer,2.5,10,23,40,39.62,Positive,1000.0,g,2024,6,10,2,Night
Bananas (),Fruits,Kothrud,61,49.24,48.82,49.25,19,28,Diwali,4.8,13,40,42,49.1,Positive,1.0,dozen,2024,5,16,14,Afternoon
Tomatoes (),Vegetables,Viman Nagar,47,38.62,39.01,39.14,18,17,Winter,3.0,8,41,49,38.92,Negative,1000.0,g,2024,5,31,0,Night
Parle-G,Biscuits,Viman Nagar,45,41.18,41.34,41.46,10,27,Monsoon,1.1,135,46,53,41.33,Negative,,Unknown,2024,2,2,14,Afternoon
Bananas (),Fruits,Aundh,61,48.77,48.93,49.06,19,24,Winter,2.3,11,36,101,48.92,Negative,1.0,dozen,2024,11,20,5,Morning
Rice (),Grocery,Viman Nagar,100,95.0,93.7,94.3,6,30,,1.2,243,22,28,94.33,Positive,1000.0,g,2024,8,29,7,Morning
Dal (),Grocery,Aundh,90,72.34,72.13,71.44,20,18,Exam Season,4.1,335,48,78,71.97,Positive,500.0,g,2024,10,29,1,Night
Atta (),Grocery,Kothrud,70,67.36,66.65,67.32,5,22,,2.6,230,14,166,67.11,Neutral,1000.0,g,2024,9,25,4,Night
Tea (),Grocery,Baner,150,129.7,129.2,128.24,14,28,Monsoon,4.1,316,37,132,129.05,Negative,250.0,g,2024,1,27,18,Evening
Oreo Biscuit,Biscuits,Kothrud,99,81.82,80.39,82.1,18,30,,4.6,150,19,131,81.44,Negative,,Unknown,2024,3,9,9,Morning
Oreo Biscuit,Biscuits,Kothrud,99,79.13,79.85,79.38,20,20,Diwali,4.4,95,38,101,79.45,Positive,,Unknown,2024,10,18,10,Morning
Bingo Mad Angles,Snacks,Wakad,20,16.27,16.59,16.25,17,25,Diwali,1.8,117,27,180,16.37,Negative,,Unknown,2024,9,29,7,Morning
Coffee (),Grocery,Wakad,200,177.17,178.44,177.98,11,17,,3.8,362,41,156,177.86,Neutral,200.0,g,2024,11,3,22,Night
Sugar (),Grocery,Baner,58,50.85,50.53,51.37,12,21,Summer,2.9,268,37,178,50.92,Neutral,1000.0,g,2024,5,8,11,Morning
Amul Milk (),Dairy,Viman Nagar,56,47.66,47.4,47.55,14,13,Summer,4.0,7,22,78,47.54,Neutral,1.0,l,2024,10,13,20,Evening
Govardhan Paneer (),Dairy,Kothrud,109,94.7,94.41,93.33,14,21,Monsoon,1.7,13,18,89,94.15,Positive,200.0,g,2024,1,18,16,Afternoon
Saffola Oil (),Grocery,Wakad,176,160.44,160.67,159.37,9,10,Summer,3.3,302,38,126,160.16,Negative,1.0,l,2024,3,12,14,Afternoon
Saffola Oil (),Grocery,Kothrud,176,140.03,139.93,140.78,20,28,Winter,3.5,218,19,164,140.25,Positive,1.0,l,2024,4,27,23,Night
Rice (),Grocery,Aundh,100,82.21,82.58,81.45,18,26,,2.5,256,47,157,82.08,Negative,1000.0,g,2024,4,28,14,Afternoon
Saffola Oil (),Grocery,Wakad,176,162.82,161.34,161.34,8,12,Monsoon,1.6,321,14,55,161.83,Positive,1.0,l,2024,1,2,0,Night
Bananas (),Fruits,Viman Nagar,61,48.38,48.26,49.21,20,24,Monsoon,1.3,11,50,101,48.62,Positive,1.0,dozen,2024,6,14,2,Night
Wheat (),Grocery,Wakad,80,73.62,73.45,71.94,9,15,Exam Season,4.2,325,28,141,73.0,Neutral,1000.0,g,2024,2,18,7,Morning
Bingo Mad Angles,Snacks,Kothrud,20,17.49,16.6,16.59,17,12,Monsoon,3.4,112,48,113,16.89,Negative,,Unknown,2024,1,11,1,Night
Rice (),Grocery,Aundh,100,96.0,95.34,94.54,5,11,Monsoon,4.1,300,43,157,95.29,Positive,1000.0,g,2024,12,21,18,Evening
Coffee (),Grocery,Aundh,200,164.27,163.98,163.18,18,21,Diwali,2.6,351,16,58,163.81,Negative,200.0,g,2024,5,8,1,Night
Bananas (),Fruits,Viman Nagar,61,51.26,50.73,50.54,17,20,Summer,2.0,13,42,43,50.84,Positive,1.0,dozen,2024,9,12,9,Morning
Oranges (),Fruits,Viman Nagar,87,81.16,81.5,82.29,6,30,Holi,2.8,10,27,168,81.65,Positive,1000.0,g,2024,2,20,21,Night
Tomatoes (),Vegetables,Viman Nagar,47,36.84,38.55,37.82,20,17,Monsoon,3.8,9,10,152,37.74,Negative,1000.0,g,2024,6,7,10,Morning
Rice (),Grocery,Aundh,100,91.92,91.23,92.66,8,25,Winter,4.7,310,27,134,91.94,Negative,1000.0,g,2024,11,20,4,Night
Govardhan Paneer (),Dairy,Viman Nagar,109,88.39,88.06,89.13,19,26,Exam Season,4.0,6,27,134,88.53,Positive,200.0,g,2024,5,11,23,Night
Oreo Biscuit,Biscuits,Kothrud,99,93.62,93.65,94.22,5,25,Winter,4.5,128,40,129,93.83,Negative,,Unknown,2024,5,9,2,Night
Oranges (),Fruits,Wakad,87,71.34,71.21,71.43,19,17,Holi,3.3,13,12,94,71.33,Positive,1000.0,g,2024,10,16,5,Morning
Govardhan Paneer (),Dairy,Viman Nagar,109,99.18,98.26,99.19,9,28,Holi,2.3,12,16,151,98.88,Positive,200.0,g,2024,12,19,13,Afternoon
Bingo Mad Angles,Snacks,Baner,20,18.02,18.51,17.51,9,25,Monsoon,4.1,116,49,151,18.01,Negative,,Unknown,2024,9,9,8,Morning
Rice (),Grocery,Kothrud,100,83.91,83.25,83.77,17,25,Winter,4.5,338,14,75,83.64,Positive,1000.0,g,2024,9,2,2,Night
Tomatoes (),Vegetables,Aundh,47,43.58,42.91,43.98,7,13,Monsoon,2.8,7,11,23,43.49,Neutral,1000.0,g,2024,5,5,23,Night
Saffola Oil (),Grocery,Kothrud,176,147.7,147.33,147.66,16,15,Summer,1.7,336,34,193,147.56,Positive,1.0,l,2024,9,22,7,Morning
Tea (),Grocery,Viman Nagar,150,135.96,136.78,136.42,9,10,Diwali,4.6,253,44,85,136.39,Negative,250.0,g,2024,1,29,16,Afternoon
Bingo Mad Angles,Snacks,Kothrud,20,17.48,17.05,16.7,14,19,Diwali,1.8,153,16,77,17.08,Negative,,Unknown,2024,5,28,2,Night
Amul Milk (),Dairy,Wakad,56,47.2,48.82,47.95,14,10,Summer,3.3,5,48,176,47.99,Neutral,1.0,l,2024,11,19,10,Morning
Tomatoes (),Vegetables,Aundh,47,38.92,38.86,38.98,16,14,Diwali,3.5,10,12,92,38.92,Neutral,1000.0,g,2024,11,2,6,Morning
Bingo Mad Angles,Snacks,Baner,20,17.26,15.98,16.39,16,23,Diwali,1.7,168,33,169,16.54,Positive,,Unknown,2024,7,13,21,Night
Coffee (),Grocery,Aundh,200,160.93,159.59,160.74,20,13,Summer,2.9,216,24,198,160.42,Positive,200.0,g,2024,10,8,6,Morning
Apples (),Fruits,Wakad,157,146.59,145.04,146.08,7,24,Summer,2.5,11,47,145,145.9,Neutral,1000.0,g,2024,11,15,9,Morning
Amul Milk (),Dairy,Baner,56,49.22,49.52,50.17,12,20,Monsoon,4.7,15,14,177,49.64,Positive,1.0,l,2024,11,15,22,Night
Bingo Mad Angles,Snacks,Kothrud,20,15.63,15.49,15.47,18,25,Monsoon,1.5,167,18,118,15.53,Positive,,Unknown,2024,6,25,4,Night
Amul Milk (),Dairy,Wakad,56,51.73,51.27,51.63,9,29,Holi,2.6,5,33,89,51.54,Negative,1.0,l,2024,6,21,4,Night
Bingo Mad Angles,Snacks,Aundh,20,16.0,17.17,16.89,16,30,Winter,2.4,100,22,54,16.69,Negative,,Unknown,2024,11,25,8,Morning
Bingo Mad Angles,Snacks,Baner,20,18.08,17.99,16.84,11,20,Monsoon,2.0,174,23,41,17.64,Positive,,Unknown,2024,11,18,6,Morning
Oranges (),Fruits,Aundh,87,78.06,76.9,77.98,11,29,Diwali,1.0,9,44,109,77.65,Positive,1000.0,g,2024,11,6,2,Night
Atta (),Grocery,Baner,70,65.76,66.22,67.08,5,28,Monsoon,2.3,247,13,46,66.35,Positive,1000.0,g,2024,10,15,1,Night
Bananas (),Fruits,Wakad,61,56.68,57.29,56.76,7,13,,2.8,7,43,121,56.91,Positive,1.0,dozen,2024,6,26,21,Night
Sugar (),Grocery,Baner,58,47.99,47.36,48.56,17,24,Holi,1.3,262,48,86,47.97,Positive,1000.0,g,2024,1,26,12,Afternoon
Dal (),Grocery,Kothrud,90,76.26,76.69,76.09,15,26,Diwali,3.4,359,17,185,76.35,Positive,500.0,g,2024,9,9,18,Evening
Oranges (),Fruits,Aundh,87,71.25,70.3,71.12,19,22,Holi,2.7,12,37,118,70.89,Positive,1000.0,g,2024,9,15,7,Morning
Coffee (),Grocery,Kothrud,200,159.13,160.66,159.19,20,13,Exam Season,4.0,213,45,61,159.66,Negative,200.0,g,2024,8,15,18,Evening
Oranges (),Fruits,Wakad,87,79.86,80.79,80.92,8,23,Summer,4.5,7,28,182,80.52,Neutral,1000.0,g,2024,5,1,8,Morning
Amul Milk (),Dairy,Baner,56,49.15,49.8,50.53,11,21,Diwali,4.4,6,27,174,49.83,Negative,1.0,l,2024,3,28,19,Evening
Bananas (),Fruits,Wakad,61,58.17,58.27,58.34,5,10,Winter,1.7,11,31,121,58.26,Neutral,1.0,dozen,2024,1,3,8,Morning
Atta (),Grocery,Aundh,70,57.24,58.58,59.04,17,12,Diwali,4.0,276,36,153,58.29,Positive,1000.0,g,2024,5,12,9,Morning
Atta (),Grocery,Kothrud,70,60.05,59.64,58.67,15,11,Summer,1.6,192,15,85,59.45,Neutral,1000.0,g,2024,6,21,2,Night
Bananas (),Fruits,Viman Nagar,61,49.24,48.84,49.43,19,21,Diwali,2.7,14,43,122,49.17,Negative,1.0,dozen,2024,1,18,15,Afternoon
Tea (),Grocery,Viman Nagar,150,140.02,140.6,140.42,6,14,Diwali,4.1,263,17,19,140.35,Negative,250.0,g,2024,7,12,3,Night
Bananas (),Fruits,Aundh,61,50.7,50.09,50.75,17,21,Exam Season,1.3,7,37,42,50.51,Neutral,1.0,dozen,2024,6,27,13,Afternoon
Rice (),Grocery,Kothrud,100,82.15,82.42,81.84,18,13,Diwali,2.6,223,49,167,82.14,Negative,1000.0,g,2024,11,19,3,Night
Amul Milk (),Dairy,Baner,56,51.01,51.7,51.57,8,22,Holi,4.5,10,24,110,51.43,Neutral,1.0,l,2024,10,29,13,Afternoon
Atta (),Grocery,Baner,70,64.46,63.79,64.95,8,21,Diwali,3.9,217,25,52,64.4,Neutral,1000.0,g,2024,2,26,20,Evening
Coffee (),Grocery,Aundh,200,182.52,182.31,181.35,9,30,Exam Season,3.0,328,38,183,182.06,Neutral,200.0,g,2024,9,6,17,Evening
Parle-G,Biscuits,Kothrud,45,35.59,36.33,36.06,19,18,Exam Season,3.4,124,14,94,35.99,Negative,,Unknown,2024,6,28,7,Morning
Bingo Mad Angles,Snacks,Baner,20,17.46,15.95,17.53,16,12,,3.5,128,39,188,16.98,Neutral,,Unknown,2024,8,3,6,Morning
Saffola Oil (),Grocery,Viman Nagar,176,156.28,156.59,155.94,11,11,Winter,2.8,362,15,145,156.27,Negative,1.0,l,2024,9,7,22,Night
Atta (),Grocery,Baner,70,57.68,56.75,56.92,19,21,Exam Season,2.5,279,36,123,57.12,Negative,1000.0,g,2024,9,20,15,Afternoon
Saffola Oil (),Grocery,Kothrud,176,148.79,149.96,149.17,15,29,,4.5,200,47,84,149.31,Negative,1.0,l,2024,12,22,0,Night
Amul Milk (),Dairy,Kothrud,56,45.74,46.9,45.65,17,27,Monsoon,2.5,7,43,67,46.1,Negative,1.0,l,2024,9,7,21,Night
Bananas (),Fruits,Wakad,61,57.68,57.31,57.38,5,25,Summer,1.8,9,14,90,57.46,Positive,1.0,dozen,2024,11,23,22,Night
Wheat (),Grocery,Wakad,80,75.52,75.95,75.44,6,29,Winter,2.5,226,49,92,75.64,Positive,1000.0,g,2024,10,7,1,Night
Bingo Mad Angles,Snacks,Baner,20,17.15,16.28,16.69,16,19,Holi,4.0,89,44,106,16.71,Negative,,Unknown,2024,4,30,4,Night
Govardhan Paneer (),Dairy,Aundh,109,88.21,87.85,88.05,19,26,Summer,2.7,8,48,84,88.04,Positive,200.0,g,2024,12,5,0,Night
Coffee (),Grocery,Baner,200,160.75,160.11,159.21,20,26,Monsoon,4.4,201,20,90,160.02,Negative,200.0,g,2024,6,23,11,Morning
Oreo Biscuit,Biscuits,Aundh,99,80.36,82.0,81.81,18,21,Winter,4.7,66,35,164,81.39,Negative,,Unknown,2024,5,25,5,Morning
Tea (),Grocery,Viman Nagar,150,125.45,125.64,125.2,16,30,,2.3,215,12,86,125.43,Positive,250.0,g,2024,12,22,6,Morning
Govardhan Paneer (),Dairy,Aundh,109,87.1,86.21,86.36,20,18,Winter,1.9,13,48,184,86.56,Positive,200.0,g,2024,6,13,9,Morning
Wheat (),Grocery,Kothrud,80,68.04,68.28,69.08,14,29,Exam Season,2.8,307,48,186,68.47,Positive,1000.0,g,2024,1,7,9,Morning
Oreo Biscuit,Biscuits,Wakad,99,89.67,89.09,89.8,9,28,Exam Season,2.7,145,15,150,89.52,Neutral,,Unknown,2024,5,20,1,Night
Rice (),Grocery,Wakad,100,94.78,94.94,95.27,5,21,Diwali,2.0,271,14,103,95.0,Positive,1000.0,g,2024,4,3,15,Afternoon
Wheat (),Grocery,Wakad,80,67.27,67.7,67.68,15,30,Monsoon,1.7,298,40,87,67.55,Neutral,1000.0,g,2024,11,11,3,Night
Dal (),Grocery,Baner,90,71.97,72.3,73.48,19,11,Monsoon,2.3,311,35,175,72.58,Negative,500.0,g,2024,7,2,20,Evening
Coffee (),Grocery,Baner,200,177.57,178.72,177.1,11,30,Winter,2.3,274,37,140,177.8,Positive,200.0,g,2024,10,15,16,Afternoon
Bingo Mad Angles,Snacks,Viman Nagar,20,17.99,18.0,18.85,10,26,Summer,2.1,138,15,126,18.28,Positive,,Unknown,2024,8,21,23,Night
Atta (),Grocery,Wakad,70,58.71,59.16,59.09,15,24,Summer,3.4,222,38,128,58.99,Negative,1000.0,g,2024,6,22,15,Afternoon
Saffola Oil (),Grocery,Kothrud,176,143.87,145.28,145.22,18,12,Diwali,3.7,273,42,83,144.79,Negative,1.0,l,2024,1,13,2,Night
Dal (),Grocery,Wakad,90,71.97,72.03,73.46,19,21,Monsoon,2.4,188,48,88,72.49,Neutral,500.0,g,2024,9,20,17,Evening
Bingo Mad Angles,Snacks,Kothrud,20,16.73,16.35,16.26,19,22,Summer,2.3,93,17,24,16.45,Negative,,Unknown,2024,10,12,16,Afternoon
Atta (),Grocery,Viman Nagar,70,58.93,57.34,58.65,17,24,Diwali,1.9,253,41,93,58.31,Neutral,1000.0,g,2024,2,17,15,Afternoon
Dal (),Grocery,Baner,90,81.8,80.89,80.18,10,20,Holi,3.7,196,45,184,80.96,Neutral,500.0,g,2024,4,22,18,Evening
Tomatoes (),Vegetables,Aundh,47,42.89,42.32,41.54,10,16,Monsoon,4.2,8,11,104,42.25,Positive,1000.0,g,2024,8,3,3,Night
Amul Milk (),Dairy,Viman Nagar,56,51.18,50.13,50.58,9,25,Winter,3.1,14,14,47,50.63,Negative,1.0,l,2024,5,3,2,Night
Rice (),Grocery,Viman Nagar,100,83.26,84.66,84.1,16,28,Holi,1.7,290,42,57,84.01,Positive,1000.0,g,2024,11,18,21,Night
Wheat (),Grocery,Wakad,80,68.13,68.45,69.22,14,21,Exam Season,4.8,252,15,80,68.6,Neutral,1000.0,g,2024,3,17,5,Morning
Oranges (),Fruits,Kothrud,87,75.05,74.01,75.1,14,28,Exam Season,4.8,9,49,136,74.72,Positive,1000.0,g,2024,11,23,4,Night
Saffola Oil (),Grocery,Baner,176,166.34,165.98,164.97,6,16,,4.1,338,50,58,165.76,Negative,1.0,l,2024,7,12,10,Morning
Oranges (),Fruits,Kothrud,87,74.79,75.43,75.19,14,19,Monsoon,2.8,7,20,133,75.14,Neutral,1000.0,g,2024,6,10,9,Morning
Govardhan Paneer (),Dairy,Viman Nagar,109,92.86,92.28,93.09,15,21,Exam Season,4.9,10,42,186,92.74,Positive,200.0,g,2024,2,11,5,Morning
Parle-G,Biscuits,Aundh,45,40.93,40.9,40.59,8,19,Holi,4.8,113,25,66,40.81,Neutral,,Unknown,2024,11,11,22,Night
Parle-G,Biscuits,Wakad,45,37.63,37.57,39.24,15,24,Monsoon,3.0,123,11,35,38.15,Negative,,Unknown,2024,6,1,17,Evening
Oreo Biscuit,Biscuits,Viman Nagar,99,88.28,87.21,87.67,11,29,Exam Season,4.5,146,40,114,87.72,Neutral,,Unknown,2024,7,27,10,Morning
Sugar (),Grocery,Baner,58,53.54,53.24,53.31,9,21,Holi,1.2,325,45,95,53.36,Positive,1000.0,g,2024,5,20,18,Evening
Oranges (),Fruits,Kothrud,87,72.22,72.74,71.77,17,29,,3.7,9,16,117,72.24,Positive,1000.0,g,2024,5,24,22,Night
Parle-G,Biscuits,Wakad,45,40.35,40.97,40.95,9,11,Summer,1.2,102,40,173,40.76,Neutral,,Unknown,2024,6,26,11,Morning
Dal (),Grocery,Wakad,90,81.56,82.13,81.23,9,29,Diwali,4.0,331,31,161,81.64,Negative,500.0,g,2024,11,17,16,Afternoon
Oreo Biscuit,Biscuits,Wakad,99,85.09,84.17,84.8,14,13,Holi,4.9,99,50,57,84.69,Neutral,,Unknown,2024,8,19,19,Evening
Govardhan Paneer (),Dairy,Kothrud,109,96.36,96.09,95.26,12,30,Monsoon,3.9,7,25,34,95.9,Negative,200.0,g,2024,8,10,8,Morning
Wheat (),Grocery,Aundh,80,64.43,64.1,65.18,19,23,,3.0,300,13,194,64.57,Neutral,1000.0,g,2024,2,23,15,Afternoon
Oreo Biscuit,Biscuits,Aundh,99,85.15,84.11,83.9,15,15,Diwali,2.8,103,44,135,84.39,Neutral,,Unknown,2024,9,19,11,Morning
Coffee (),Grocery,Wakad,200,178.91,177.56,177.6,11,19,Holi,4.1,233,41,123,178.02,Neutral,200.0,g,2024,7,5,8,Morning
Amul Milk (),Dairy,Wakad,56,48.3,48.87,48.81,13,22,Winter,4.3,9,12,86,48.66,Positive,1.0,l,2024,10,4,8,Morning
Rice (),Grocery,Kothrud,100,87.49,86.43,87.66,13,18,Holi,4.7,249,18,46,87.19,Neutral,1000.0,g,2024,8,27,2,Night
Tea (),Grocery,Aundh,150,132.28,131.1,131.83,12,25,,1.4,181,45,86,131.74,Positive,250.0,g,2024,6,7,0,Night
Govardhan Paneer (),Dairy,Viman Nagar,109,97.52,96.58,96.58,11,11,Monsoon,4.6,15,46,106,96.89,Positive,200.0,g,2024,7,26,19,Evening
Saffola Oil (),Grocery,Aundh,176,159.27,157.47,159.07,10,25,Holi,1.7,254,12,15,158.6,Neutral,1.0,l,2024,4,25,21,Night
Wheat (),Grocery,Kothrud,80,65.78,64.89,64.79,19,14,Summer,4.4,249,22,51,65.15,Negative,1000.0,g,2024,5,8,10,Morning
Atta (),Grocery,Viman Nagar,70,61.34,59.93,60.57,13,19,Monsoon,3.3,224,49,153,60.61,Positive,1000.0,g,2024,11,17,4,Night
Bananas (),Fruits,Wakad,61,56.53,55.92,57.69,7,25,Summer,2.3,7,26,125,56.71,Positive,1.0,dozen,2024,4,1,11,Morning
Bingo Mad Angles,Snacks,Kothrud,20,17.36,17.35,16.72,14,21,Summer,3.8,60,39,118,17.14,Positive,,Unknown,2024,3,3,0,Night
Apples (),Fruits,Wakad,157,135.4,135.3,135.9,14,21,Monsoon,3.5,9,40,80,135.53,Positive,1000.0,g,2024,6,25,16,Afternoon
Amul Milk (),Dairy,Viman Nagar,56,45.31,45.4,45.45,20,17,Monsoon,3.7,6,43,158,45.39,Neutral,1.0,l,2024,7,24,2,Night
Amul Milk (),Dairy,Baner,56,50.64,51.62,51.53,8,28,Diwali,3.1,10,43,157,51.26,Positive,1.0,l,2024,2,15,3,Night
Salt (),Grocery,Wakad,20,19.4,18.49,17.71,7,14,Holi,3.1,324,13,157,18.53,Negative,500.0,g,2024,6,28,13,Afternoon
Tomatoes (),Vegetables,Baner,47,41.52,41.38,41.05,13,11,Holi,2.7,5,44,60,41.32,Neutral,1000.0,g,2024,12,28,22,Night
Rice (),Grocery,Viman Nagar,100,85.82,86.54,86.53,14,30,,4.9,277,38,135,86.3,Negative,1000.0,g,2024,5,25,21,Night
Rice (),Grocery,Wakad,100,83.24,84.99,83.79,16,14,Exam Season,3.9,180,11,88,84.01,Positive,1000.0,g,2024,6,28,19,Evening
Oranges (),Fruits,Viman Nagar,87,72.86,71.71,71.9,17,18,Diwali,1.8,8,12,182,72.16,Neutral,1000.0,g,2024,6,11,19,Evening
Sugar (),Grocery,Aundh,58,53.14,53.01,54.14,7,11,Exam Season,2.0,282,38,98,53.43,Positive,1000.0,g,2024,7,28,14,Afternoon
Salt (),Grocery,Baner,20,16.67,18.03,17.35,14,28,Exam Season,3.4,262,25,103,17.35,Neutral,500.0,g,2024,12,6,7,Morning
Dal (),Grocery,Wakad,90,73.4,72.92,74.7,18,15,Exam Season,3.5,322,41,54,73.67,Negative,500.0,g,2024,5,13,18,Evening
